name,region,type,homepage,data_url,clicks,link_found
East Devon,South West,District,http://www.eastdevon.gov.uk,http://www.eastdevon.gov.uk/opendata,,
Eastleigh Borough Council,South East,District,http://www.eastleigh.gov.uk,http://www.eastleigh.gov.uk/opendata,,
East Renfrewshire Council,Scotland,Unitary,http://www.eastrenfrewshire.gov.uk,,,
Fife Council,Scotland,Unitary,http://www.fife.gov.uk,,,
Forest Heath District Council,East of England,District,http://www.forest-heath.gov.uk,http://www.forest-heath.gov.uk/transparency,1,
Harborough District Council,East Midlands,District,http://www.harborough.gov.uk,http://www.harborough.gov.uk/transparency,1,
Hartlepool Borough Council,North East,Unitary,http://www.hartlepool.gov.uk,http://www.hartlepool.gov.uk/opendata,,
Horsham District Council,South East,District,http://www.horsham.gov.uk,,,
Hull City Council,Yorkshire and The Humber,Unitary,http://www.hullcc.gov.uk,,,
Huntingdonshire District Council,East of England,District,http://www.huntsdc.gov.uk,http://www.huntsdc.gov.uk/opendata,,
Inverclyde Council,Scotland,Unitary,http://www.inverclyde.gov.uk,,1,
Ipswich Borough Council,East of England,District,http://www.ipswich.gov.uk,http://www.ipswich.gov.uk/transparency,,
Kettering Borough Council,East Midlands,District,http://www.kettering.gov.uk,http://www.kettering.gov.uk/opendata,,
King's Lynn & West Norfolk Borough Council,East of England,District,http://www.west-norfolk.gov.uk,http://www.west-norfolk.gov.uk/transparency,,
Kirklees Metropolitan Borough Council,Yorkshire and The Humber,Metropolitan Borough,http://www.kirklees.gov.uk,http://www.kirklees.gov.uk/opendata,,
Lancashire County Council,North West,County,http://www.lancashire.gov.uk,http://www.lancashire.gov.uk/transparency,,
Larne Borough Council,Northern Ireland,District,http://www.larne.gov.uk,,,
Mid Sussex District Council,South East,District,http://www.midsussex.gov.uk,http://www.midsussex.gov.uk/transparency,,
Milton Keynes Council,South East,Unitary,http://www.milton-keynes.gov.uk,,,
Mole Valley Council,South East,District,http://www.molevalley.gov.uk,,,
Newcastle-under-Lyme Council,West Midlands,District,http://www.newcastle-staffs.gov.uk,,,
Newport Council,Wales,Unitary,http://www.newport.gov.uk,http://www.newport.gov.uk/transparency,,
North Hertfordshire District Council,East of England,District,http://www.north-herts.gov.uk,http://www.north-herts.gov.uk/opendata,,
North Lanarkshire Council,Scotland,Unitary,http://www.northlan.gov.uk,,,
Northumberland County Council,North East,Unitary,http://www.northumberland.gov.uk,,,
Oxford City Council,South East,District,http://www.oxford.gov.uk,http://www.oxford.gov.uk/transparency,,
Oxfordshire County Council,South East,County,http://www.oxfordshire.gov.uk,http://www.oxfordshire.gov.uk/opendata,,
Pembrokeshire Council,Wales,Unitary,http://www.pembrokeshire.gov.uk,,,
Rochford District Council,East of England,District,http://www.rochford.gov.uk,http://www.rochford.gov.uk/opendata,,
Rother District Council,South East,District,http://www.rother.gov.uk,,,
Royal Borough of Kingston upon Thames,London,London Borough,http://www.kingston.gov.uk,,,
Runnymede Borough Council,South East,District,http://www.runnymede.gov.uk,,,
Rushcliffe Council,East Midlands,District,http://www.rushcliffe.gov.uk,,,
Rushmoor Borough Council,South East,District,http://www.rushmoor.gov.uk,,,
Rutland County Council,East Midlands,Unitary,http://www.rutland.gov.uk,,,
Scarborough Borough Council,Yorkshire and The Humber,District,http://www.scarborough.gov.uk,http://www.scarborough.gov.uk/opendata,,
Sefton Metropolitan Borough Council,North West,Metropolitan Borough,http://www.sefton.gov.uk,http://www.sefton.gov.uk/transparency,,
Sevenoaks District Council,South East,District,http://www.sevenoaks.gov.uk,http://www.sevenoaks.gov.uk/transparency,,
Shetland Islands Council,Scotland,Unitary,http://www.shetland.gov.uk,,,
Solihull Metropolitan Borough Council,West Midlands,Metropolitan Borough,http://www.solihull.gov.uk,http://www.solihull.gov.uk/opendata,,
South Bucks District Council,South East,District,http://www.southbucks.gov.uk,,,
Southend-on-Sea Council,East of England,Unitary,http://www.southend.gov.uk,http://www.southend.gov.uk/opendata,,
South Kesteven,East Midlands,District,http://www.southkesteven.gov.uk,,,
South Norfolk,East of England,District,http://www.south-norfolk.gov.uk,http://www.south-norfolk.gov.uk/opendata,,
South Northamptonshire,East Midlands,District,http://www.southnorthants.gov.uk,http://www.southnorthants.gov.uk/opendata,1,
South Ribble Borough Council,North West,District,http://www.southribble.gov.uk,,,
Spelthorne Borough Council,South East,District,http://www.spelthorne.gov.uk,,,
St Edmundsbury Borough Council,East of England,District,http://www.stedmundsbury.gov.uk,http://www.stedmundsbury.gov.uk/opendata,,
Stockport Metropolitan Borough Council,North West,Metropolitan Borough,http://www.stockport.gov.uk,http://www.stockport.gov.uk/transparency,,
Stoke-on-Trent City Council,West Midlands,Unitary,http://www.stoke.gov.uk,http://www.stoke.gov.uk/transparency,1,
Suffolk County Council,East of England,County,http://www.suffolk.gov.uk,http://www.suffolk.gov.uk/transparency,,
Swale Borough Council,South East,District,http://www.swale.gov.uk,http://www.swale.gov.uk/transparency,1,
Swindon Borough Council,South West,Unitary,http://www.swindon.gov.uk,http://www.swindon.gov.uk/opendata,,
Tameside Metropolitan Borough Council,North West,Metropolitan Borough,http://www.tameside.gov.uk,http://www.tameside.gov.uk/transparency,,
Test Valley Borough Council,South East,District,http://www.testvalley.gov.uk,,1,
Thurrock Council,East of England,Unitary,http://www.thurrock.gov.uk,http://www.thurrock.gov.uk/opendata,,
Torridge District Council,South West,District,http://www.torridge.gov.uk,,,
Uttlesford District Council,East of England,District,http://www.uttlesford.gov.uk,,,
Warrington Council,North West,Unitary,http://www.warrington.gov.uk,http://www.warrington.gov.uk/opendata,,
Watford Borough Council,East of England,District,http://www.watford.gov.uk,http://www.watford.gov.uk/opendata,,
Wealden District Council,South East,District,http://www.wealden.gov.uk,,,
West Lancashire District Council,North West,District,http://www.westlancsdc.gov.uk,http://www.westlancsdc.gov.uk/opendata,,
Arun District Council,South East,District,http://www.arun.gov.uk,,,
Ashford Borough Council,South East,District,http://www.ashford.gov.uk,,,
Aylesbury Vale District Council,South East,District,http://www.aylesburyvaledc.gov.uk,,1,
Basildon District Council,East of England,District,http://www.basildon.gov.uk,http://www.basildon.gov.uk/opendata,,
Bassetlaw District Council,East Midlands,District,http://www.bassetlaw.gov.uk,http://www.bassetlaw.gov.uk/opendata,,
Bedford Borough Council,East of England,Unitary,http://www.bedford.gov.uk,http://www.bedford.gov.uk/transparency,1,
Belfast City Council,Northern Ireland,District,http://www.belfastcity.gov.uk,http://www.belfastcity.gov.uk/opendata,,
Blackpool Council,North West,Unitary,http://www.blackpool.gov.uk,http://www.blackpool.gov.uk/opendata,,
Bolsover District Council,East Midlands,District,http://www.bolsover.gov.uk,,,
Boston Borough Council,East Midlands,District,http://www.boston.gov.uk,,,
Bradford Metropolitan Council,Yorkshire and The Humber,Metropolitan Borough,http://www.bradford.gov.uk,,,
Brentwood Borough Council,East of England,District,http://www.brentwood.gov.uk,http://www.brentwood.gov.uk/opendata,,
Buckinghamshire County Council,South East,County,http://www.buckscc.gov.uk,http://www.buckscc.gov.uk/opendata,,
London Borough of Barnet,London,London Borough,http://www.barnet.gov.uk,http://www.barnet.gov.uk/open-data,1,
London Borough of Bexley,London,London Borough,http://www.bexley.gov.uk,,,
London Borough of Greenwich,London,London Borough,http://www.greenwich.gov.uk,,,
London Borough of Hammersmith & Fulham,London,London Borough,http://www.lbhf.gov.uk,http://www.lbhf.gov.uk/transparency,,
London Borough of Harrow,London,London Borough,https://www.harrow.gov.uk/site/index.php,,,
London Borough of Havering,London,London Borough,http://www.havering.gov.uk,,,
London Borough of Hounslow,London,London Borough,http://www.hounslow.gov.uk,,,
London Borough of Lewisham,London,London Borough,http://www.lewisham.gov.uk,http://www.lewisham.gov.uk/opendata,,
London Borough of Merton,London,London Borough,http://www.merton.gov.uk,http://www.merton.gov.uk/opendata,,
London Borough of Richmond upon Thames,London,London Borough,http://www.richmond.gov.uk,http://www.richmond.gov.uk/transparency,,
London Borough of Southwark,London,London Borough,http://www.southwark.gov.uk,http://www.southwark.gov.uk/opendata,,
London Borough of Tower Hamlets,London,London Borough,http://www.towerhamlets.gov.uk,http://www.towerhamlets.gov.uk/transparency,,
Maldon District Council,East of England,District,http://www.maldon.gov.uk,,,
Mansfield District Council,East Midlands,District,http://www.mansfield.gov.uk,,,
West Lindsey,East Midlands,District,http://www.west-lindsey.gov.uk,http://www.west-lindsey.gov.uk/transparency,,
West Oxfordshire,South East,District,http://www.westoxon.gov.uk,,,
West Somerset,South West,District,http://www.westsomersetonline.gov.uk,http://www.westsomersetonline.gov.uk/opendata,,
Wrexham County Borough Council,Wales,Unitary,http://www.wrexham.gov.uk,,,
Allerdale Borough Council,North West,District,http://www.allerdale.gov.uk,http://www.allerdale.gov.uk/opendata,1,
Calderdale,Yorkshire and The Humber,Metropolitan Borough,http://www.calderdale.gov.uk,http://www.calderdale.gov.uk/opendata/,2,http://www.calderdale.gov.uk/siteinfo/site-map/index.html
Christchurch Borough Council,South West,District,http://www.dorsetforyou.com,http://www.dorsetforyou.com/opendata,2,http://www.dorsetforyou.com/388379
Council of the Isles of Scilly,South West,Unitary,http://www.scilly.gov.uk,http://www.scilly.gov.uk/council/opendata.htm,2,http://www.scilly.gov.uk:80/council/
Darlington Borough Council,North East,Unitary,http://www.darlington.gov.uk,http://www.darlington.gov.uk/opendata,2,http://www.darlington.gov.uk/Generic/AtoZ/D.htm
Dorset County Council,South West,County,http://www.dorsetforyou.com,http://www.dorsetforyou.com/opendata,2,http://www.dorsetforyou.com/388379
North Tyneside Council,North East,Metropolitan Borough,http://www.northtyneside.gov.uk,http://www.northtyneside.gov.uk/datastore.shtml?p_subjectCategory=1176,2,http://www.northtyneside.gov.uk/datastore.shtml?p_subjectCategory=1176
Sedgemoor District Council,South West,District,http://www.sedgemoor.gov.uk,http://www.sedgemoor.gov.uk/index.aspx?articleid=7168,2,http://www.sedgemoor.gov.uk/index.aspx?articleid=5551
Shropshire Council,West Midlands,Unitary,http://www.shropshire.gov.uk,http://www.shropshire.gov.uk/opendata,2,http://www.shropshire.gov.uk/index.nsf/category?openview&restricttocategory=Business
South Ayrshire Council,Scotland,Unitary,http://www.south-ayrshire.gov.uk,http://www.south-ayrshire.gov.uk/opendata/,2,http://www.south-ayrshire.gov.uk/sitemap/
South Derbyshire,East Midlands,District,http://www.south-derbys.gov.uk,http://www.south-derbys.gov.uk/our_website/open_data,2,http://www.south-derbys.gov.uk//our_website/default.asp
Tandridge District Council,South East,District,http://www.tandridge.gov.uk,http://www.tandridge.gov.uk/opendata,2,http://www.tandridge.gov.uk:80/YourCouncil/Access/accessibility.htm
Aberdeenshire Council,Scotland,Unitary,http://www.aberdeenshire.gov.uk,http://www.aberdeenshire.gov.uk/opendata/,2,http://www.aberdeenshire.gov.uk/sitemap/index.asp
Adur District Council,South East,District,http://www.adur.gov.uk,http://www.adur.gov.uk/open-data/,2,http://www.adur.gov.uk/o
Birmingham City Council,West Midlands,Metropolitan Borough,http://www.birmingham.gov.uk,http://www.birmingham.gov.uk/open-data,2,http://www.birmingham.gov.uk/cs/Satellite?c=Page&childpagename=SystemAdmin%2FCFPageLayout&cid=1223092626447&packedargs=AlphabetValue%3DO%26website%3D4&pagename=BCC%2FCommon%2FWrapper%2FCFWrapper&rendermode=live
East Dorset District Council,South West,District,http://www.dorsetforyou.com,http://www.dorsetforyou.com/opendata,2,http://www.dorsetforyou.com/388379
East Staffordshire Borough Council,West Midlands,District,http://www.eaststaffsbc.gov.uk,http://www.eaststaffsbc.gov.uk/opendata/Pages/default.aspx,2,http://www.eaststaffsbc.gov.uk/Services/Pages/CouncilDemocracyandDecisions.aspx
Leicester City Council,East Midlands,Unitary,http://www.leicester.gov.uk,http://www.leicester.gov.uk/data/,2,http://www.leicester.gov.uk/howdoi
Medway Council,South East,Unitary,http://www.medway.gov.uk,http://www.medway.gov.uk/councilanddemocracy/communications/opendata.aspx,2,http://www.medway.gov.uk/information/siteinformation/sitemap.aspx
Northampton Borough Council,East Midlands,District,http://www.northampton.gov.uk,http://www.northampton.gov.uk/opendata,2,http://www.northampton.gov.uk/info/100004/your_council_elections_meetings_and_members
Wycombe District Council,South East,District,http://www.wycombe.gov.uk,http://www.wycombe.gov.uk/do-it-online/open-data.aspx,2,http://www.wycombe.gov.uk//council-services/council-and-democracy/site-map.aspx
Gateshead Metropolitan Borough Council,North East,Metropolitan Borough,http://www.gateshead.gov.uk,,2,http://www.gateshead.gov.uk/Council and Democracy/Your-council.aspx
Gedling Borough Council,East Midlands,District,http://www.gedling.gov.uk,http://www.gedling.gov.uk/opendata,2,http://www.gedling.gov.uk/aboutus/webservices/websitetranslation/
Gravesham Borough Council,South East,District,http://www.gravesham.gov.uk,http://www.gravesham.gov.uk/transparency,2,http://www.gravesham.gov.uk/?result_78679_result_page=T
Hastings Borough Council,South East,District,http://www.hastings.gov.uk,http://www.hastings.gov.uk/transparency,2,http://www.hastings.gov.uk/decisions_democracy/press_media/press_news/
Newark and Sherwood District Council,East Midlands,District,http://www.newark-sherwooddc.gov.uk,http://www.newark-sherwooddc.gov.uk/opendata,2,http://www.newark-sherwooddc.gov.uk/yourcouncil/makingarequestforinformation/
Southampton City Council,South East,Unitary,http://www.southampton.gov.uk,,2,http://www.southampton.gov.uk/council-partners/jobs/jobsandtraining/
Aberdeen City Council,Scotland,Unitary,http://www.aberdeencity.gov.uk,http://www.aberdeencity.gov.uk/open_data/open_data_home.asp,,
Amber Valley Borough Council,East Midlands,District,http://www.ambervalley.gov.uk,,,
Angus Council,Scotland,Unitary,http://www.angus.gov.uk,,,
Antrim Borough Council,Northern Ireland,District,http://www.antrim.gov.uk,,,
Ards Borough Council,Northern Ireland,District,http://www.ards-council.gov.uk,,,
Argyll & Bute Council,Scotland,Unitary,http://www.argyll-bute.gov.uk,,,
Armagh,Northern Ireland,District,http://www.armagh.gov.uk,,,
Ashfield District Council,East Midlands,District,http://www.ashfield-dc.gov.uk,http://www.ashfield-dc.gov.uk/Opendata/,,
Babergh District Council,East of England,District,http://www.babergh.gov.uk,,,
Ballymena,Northern Ireland,District,http://www.ballymena.gov.uk,,,
Ballymoney Borough Council,Northern Ireland,District,http://www.ballymoney.gov.uk,,,
Barnsley Borough Council,Yorkshire and The Humber,Metropolitan Borough,http://www.barnsley.gov.uk,,,
Barrow-in-Furness Borough Council,North West,District,http://www.barrowbc.gov.uk,,,
Basingstoke & Deane Borough Council,South East,District,http://www.basingstoke.gov.uk,,,
Blaby District Council,East Midlands,District,http://www.blaby.gov.uk,,,
