name,region,type,homepage,data_url,clicks,link_found
Exeter City,South West,District,http://www.exeter.gov.uk,http://www.exeter.gov.uk/index.aspx?articleid=13235,,
Falkirk District Council,Scotland,Unitary,http://www.falkirk.gov.uk,,,
Fareham Borough Council,South East,District,http://www.fareham.gov.uk,,,
Fenland District Council,East of England,District,http://www.fenland.gov.uk,,,
Fermanagh Council,Northern Ireland,District,http://www.fermanagh.gov.uk,,,
Flintshire County Council,Wales,Unitary,http://www.flintshire.gov.uk,,,
Forest of Dean District Council,South West,District,http://www.fdean.gov.uk,,,
Fylde Borough Council,North West,District,http://www.fylde.gov.uk,,,
Gloucester City Council,South West,District,http://www.gloucester.gov.uk,http://www.gloucester.gov.uk/opendata,,
Gosport Borough Council,South East,District,http://www.gosport.gov.uk,,,
Greater London Authority,London,Other,http://www.london.gov.uk,http://data.london.gov.uk/,,
Great Yarmouth Borough Council,East of England,District,http://www.great-yarmouth.gov.uk,,,
Gwynedd Council,Wales,Unitary,http://www.gwynedd.gov.uk,,,
Halton Borough Council,North West,Unitary,http://www.halton.gov.uk,,,
Hambleton,Yorkshire and The Humber,District,http://www.hambleton.gov.uk,,,
Hampshire County Council,South East,County,http://www.hants.gov.uk,http://www.hants.gov.uk/opendata,,
Harrogate Borough Council,Yorkshire and The Humber,District,http://www.harrogate.gov.uk,,,
Hart District Council,South East,District,http://www.hart.gov.uk,,,
Havant District Council,South East,District,http://www.havant.gov.uk,,,
Herefordshire Council,West Midlands,Unitary,http://www.herefordshire.gov.uk,,,
Hertfordshire County Council,East of England,County,http://www.hertsdirect.org,http://www.hertslis.org/hertsopendata/ ,,
Hertsmere Borough Council,East of England,District,http://www.hertsmere.gov.uk,,,
High Peak Borough,East Midlands,District,http://www.highpeak.gov.uk,,,
Hinckley & Bosworth District Council,East Midlands,District,http://www.hinckley-bosworth.gov.uk,http://www.hinckley-bosworth.gov.uk/opendata,1,
Hyndburn Borough Council,North West,District,http://www.hyndburnbc.gov.uk,,,
Isle of Anglesey Council,Wales,Unitary,http://www.anglesey.gov.uk,,,
Isle of Wight Council,South East,Unitary,http://www.iwight.com,,,
Kent County Council,South East,County,http://www.kent.gov.uk,http://www.kent.gov.uk/opendata,,
Knowsley Metropolitan Borough,North West,Metropolitan Borough,http://www.knowsley.gov.uk,,,
Lancaster City Council,North West,District,http://www.lancaster.gov.uk,,,
Leeds City Council,Yorkshire and The Humber,Metropolitan Borough,http://www.leeds.gov.uk,,,
Lewes District Council,South East,District,http://www.lewes.gov.uk,,,
Lichfield District Council,West Midlands,District,http://www.lichfielddc.gov.uk,http://www2.lichfielddc.gov.uk/data/,,
Limavady Borough Council,Northern Ireland,District,http://www.limavady.gov.uk,,,
Lincoln City Council,East Midlands,District,http://www.lincoln.gov.uk,http://data.lincoln.gov.uk/,,
Lincolnshire County Council,East Midlands,County,http://www.lincolnshire.gov.uk,,,
Lisburn City Council,Northern Ireland,District,http://www.lisburn.gov.uk,,,
Liverpool City Council,North West,Metropolitan Borough,http://www.liverpool.gov.uk,http://liverpool.gov.uk/council/key-statistics-and-data/data/,,
London Borough of Barking & Dagenham,London,London Borough,http://www.barking-dagenham.gov.uk,,,
London Borough of Brent,London,London Borough,http://www.brent.gov.uk,http://www.brent.gov.uk/opendata,,
London Borough of Bromley,London,London Borough,http://www.bromley.gov.uk,,,
London Borough of Camden,London,London Borough,http://www.camden.gov.uk,http://www.camdendata.info/,,
London Borough of Croydon,London,London Borough,http://www.croydon.gov.uk,,,
London Borough of Ealing,London,London Borough,http://www.ealing.gov.uk,,,
London Borough of Enfield,London,London Borough,http://www.enfield.gov.uk,,,
London Borough of Hackney,London,London Borough,http://www.hackney.gov.uk,http://www.hackney.gov.uk/transparency,,
London Borough of Haringey,London,London Borough,http://www.haringey.gov.uk,,,
London Borough of Hillingdon,London,London Borough,http://www.hillingdon.gov.uk,http://www.hillingdon.gov.uk/data,,
London Borough of Islington,London,London Borough,http://www.islington.gov.uk,,,
London Borough of Lambeth,London,London Borough,http://www.lambeth.gov.uk,http://www.lambeth.gov.uk/opendata,,
London Borough of Newham,London,London Borough,http://www.newham.gov.uk,,,
Luton Borough Council,East of England,Unitary,http://www.luton.gov.uk,,,
Magherafelt District Council,Northern Ireland,District,http://www.magherafelt.gov.uk,,,
Maidstone Borough Council,South East,District,http://www.maidstone.gov.uk,,,
Malvern Hills District Council,West Midlands,District,http://www.malvernhills.gov.uk,,,
Manchester City Council,North West,Metropolitan Borough,http://www.manchester.gov.uk,http://www.manchester.gov.uk/opendata,,
Melton Borough Council,East Midlands,District,http://www.melton.gov.uk,,,
Mendip District Council,South West,District,http://www.mendip.gov.uk,,,
Merthyr Tydfil Council,Wales,Unitary,http://www.merthyr.gov.uk,,,
Mid Devon District Council,South West,District,http://www.middevon.gov.uk,,,
Midlothian Council,Scotland,Unitary,http://www.midlothian.gov.uk,,,
Mid Suffolk District Council,East of England,District,http://www.midsuffolk.gov.uk,,,
Moray Council,Scotland,Unitary,http://www.moray.gov.uk,,,
Moyle District Council,Northern Ireland,District,http://www.moyle-council.org,,,
Neath Port Talbot Council,Wales,Unitary,http://www.neath-porttalbot.gov.uk,,,
Newcastle upon Tyne City Council,North East,Metropolitan Borough,http://www.newcastle.gov.uk,,,
New Forest District Council,South East,District,http://www.newforest.gov.uk,,,
Newry and Mourne District Council,Northern Ireland,District,http://www.newryandmourne.gov.uk,,,
Newtownabbey Borough Council,Northern Ireland,District,http://www.newtownabbey.gov.uk,,,
Norfolk County Council,East of England,County,http://www.norfolk.gov.uk,http://www.norfolk.gov.uk/opendata,,
Northamptonshire County Council,East Midlands,County,http://www.northamptonshire.gov.uk,http://www.northamptonshire.gov.uk/en/councilservices/council/transparency/pages/default.aspx,2,http://www.northamptonshire.gov.uk/en/pages/sitemap.aspx
North Ayrshire Council,Scotland,Unitary,http://www.north-ayrshire.gov.uk,,,
North Down Borough Council,Northern Ireland,District,http://www.northdown.gov.uk,,,
North East Derbyshire,East Midlands,District,http://www.ne-derbyshire.gov.uk,,,
North East Lincolnshire Council,Yorkshire and The Humber,Unitary,http://www.nelincs.gov.uk,,,
North Kesteven District Council,East Midlands,District,http://www.n-kesteven.gov.uk,,,
North Lincolnshire Council,Yorkshire and The Humber,Unitary,http://www.northlincs.gov.uk,,,
North Norfolk District Council,East of England,District,http://www.northnorfolk.org,,,
North Somerset Council,South West,Unitary,http://www.n-somerset.gov.uk,,,
North Warwickshire Borough Council,West Midlands,District,http://www.northwarks.gov.uk,,,
North West Leicestershire,East Midlands,District,http://www.nwleicsdc.gov.uk,,,
North Yorkshire County Council,Yorkshire and The Humber,County,http://www.northyorks.gov.uk,http://www.northyorks.gov.uk/opendata,,
Norwich City Council,East of England,District,http://www.norwich.gov.uk,,,
Nottinghamshire County Council,East Midlands,County,http://www.nottinghamshire.gov.uk,,,
Nuneaton & Bedworth,West Midlands,District,http://www.nuneatonandbedworth.gov.uk,,,
Oadby & Wigston District Council,East Midlands,District,http://www.oadby-wigston.gov.uk,,,
Oldham Metropolitan Borough Council,North West,Metropolitan Borough,http://www.oldham.gov.uk,,,
Omagh District Council,Northern Ireland,District,http://www.omagh.gov.uk,,,
Orkney Islands Council,Scotland,Unitary,http://www.orkney.gov.uk,,,
Pendle Borough Council,North West,District,http://www.pendle.gov.uk,http://www.pendle.gov.uk/opendata,,
Perth & Kinross Council,Scotland,Unitary,http://www.pkc.gov.uk,,,
Peterborough City  Council,East of England,Unitary,http://www.peterborough.gov.uk,,,
Plymouth City Council,South West,Unitary,http://www.plymouth.gov.uk,,,
Poole Borough Council,South West,Unitary,http://www.boroughofpoole.com,http://www.boroughofpoole.com/transparency,1,
Portsmouth City Council,South East,Unitary,http://www.portsmouth.gov.uk,,,
Powys County Council,Wales,Unitary,http://www.powys.gov.uk,,,
Preston City Council,North West,District,http://www.preston.gov.uk,http://www.preston.gov.uk/opendata,,
Reading Borough Council,South East,Unitary,http://www.reading.gov.uk,,,
Redcar and Cleveland,North East,Unitary,http://www.redcar-cleveland.gov.uk,,,
Redditch Borough Council,West Midlands,District,http://www.redditchbc.gov.uk,,,
Reigate and Banstead Borough Council,South East,District,http://www.reigate-banstead.gov.uk,,,
Renfrewshire Council,Scotland,Unitary,http://www.renfrewshire.gov.uk,,,
Ribble Valley Borough Council,North West,District,http://www.ribblevalley.gov.uk,,,
Richmondshire,Yorkshire and The Humber,District,http://www.richmondshire.gov.uk,,,
Rochdale Metropolitan Borough Council,North West,Metropolitan Borough,http://www.rochdale.gov.uk,,,
Rossendale,North West,District,http://www.rossendale.gov.uk,,,
Rotherham Metropolitan Borough Council,Yorkshire and The Humber,Metropolitan Borough,http://www.rotherham.gov.uk,,,
Royal Borough of Kensington & Chelsea,London,London Borough,http://www.rbkc.gov.uk,http://www.rbkc.gov.uk/councilanddemocracy/transparencyinthecouncil.aspx,2,http://www.rbkc.gov.uk/systempages/sitemap.aspx
Royal Borough of Windsor and Maidenhead,South East,Unitary,http://www.rbwm.gov.uk,http://www.rbwm.gov.uk/web/transparency.htm,1,
Ryedale District Council,Yorkshire and The Humber,District,http://www.ryedale.gov.uk,http://www.ryedale.gov.uk/system_pages/council_information/open_data.aspx,1,
Sandwell Metropolitan Borough Council,West Midlands,Metropolitan Borough,http://www.sandwell.gov.uk,,,
Scottish Borders Council,Scotland,Unitary,http://www.scotborders.gov.uk,,,
Selby,Yorkshire and The Humber,District,http://www.selby.gov.uk,,,
Sheffield Council,Yorkshire and The Humber,Metropolitan Borough,http://www.sheffield.gov.uk,,,
Slough Borough Council,South East,Unitary,http://www.slough.gov.uk,,,
South Gloucestershire District Council,South West,Unitary,http://www.southglos.gov.uk,,,
South Hams District Council,South West,District,http://www.southhams.gov.uk,,,
South Holland,East Midlands,District,http://www.sholland.gov.uk,,,
South Lakeland District Council,North West,District,http://www.southlakeland.gov.uk,,,
South Oxfordshire District Council,South East,District,http://www.southoxon.gov.uk,,,
South Somerset District Council,South West,District,http://www.southsomerset.gov.uk,,,
Stafford Borough Council,West Midlands,District,http://www.staffordbc.gov.uk,,,
Staffordshire County Council,West Midlands,County,http://www.staffordshire.gov.uk,,,
Staffordshire Moorlands District Council,West Midlands,District,http://www.staffsmoorlands.gov.uk,,,
St Albans City & District Council,East of England,District,http://www.stalbans.gov.uk,,,
Stevenage Borough Council,East of England,District,http://www.stevenage.gov.uk,,,
St Helens Borough Council,North West,Metropolitan Borough,http://www.sthelens.gov.uk,,,
Strabane District Council,Northern Ireland,District,http://www.strabanedc.org.uk,,,
Suffolk Coastal District Council,East of England,District,http://www.suffolkcoastal.gov.uk,,,
Tamworth Borough Council,West Midlands,District,http://www.tamworth.gov.uk,,,
Telford & Wrekin Council,West Midlands,Unitary,http://www.telford.gov.uk,,,
Tendring District Council,East of England,District,http://www.tendringdc.gov.uk,,,
Thanet District Council,South East,District,http://www.thanet.gov.uk,,,
Three Rivers District Council,East of England,District,http://www.threerivers.gov.uk,,,
Tonbridge and Malling Borough Council,South East,District,http://www.tmbc.gov.uk,,,
Torbay Council,South West,Unitary,http://www.torbay.gov.uk,,,
Tunbridge Wells Borough Council,South East,District,http://www.tunbridgewells.gov.uk,,,
Vale of Glamorgan,Wales,Unitary,http://www.valeofglamorgan.gov.uk,,,
Wakefield City Metropolitan District Council,Yorkshire and The Humber,Metropolitan Borough,http://www.wakefield.gov.uk,,,
Walsall Metropolitan Borough Council,West Midlands,Metropolitan Borough,http://www.walsall.gov.uk,http://opendata.walsall.org.uk/,,
Waveney District Council,East of England,District,http://www.waveney.gov.uk,,,
Wellingborough,East Midlands,District,http://www.wellingborough.gov.uk,,,
Welwyn Hatfield Council,East of England,District,http://www.welhat.gov.uk,,,
West Dorset District Council,South West,District,http://www.dorsetforyou.com,http://www.dorsetforyou.com/opendata,2,http://www.dorsetforyou.com/388379
West Lothian Council,Scotland,Unitary,http://www.westlothian.gov.uk,,,
Wirral Metropolitan Borough,North West,Metropolitan Borough,http://www.wirral.gov.uk,,,
Woking Borough Council,South East,District,http://www.woking.gov.uk,,,
Wokingham Council,South East,Unitary,http://www.wokingham.gov.uk,,,
Wolverhampton City Council,West Midlands,Metropolitan Borough,http://www.wolverhampton.gov.uk,,,
Worcestershire County Council,West Midlands,County,http://www.worcestershire.gov.uk,,,
Wyre Forest District Council,West Midlands,District,http://www.wyreforestdc.gov.uk,,,
Bury Metropolitan Borough Council,North West,Metropolitan Borough,http://www.bury.gov.uk,,,
Gloucestershire County Council,South West,County,http://www.gloucestershire.gov.uk,,2,http://www.gloucestershire.gov.uk/council
Guildford Borough Council,South East,District,http://www.guildford.gov.uk,,2,http://www.guildford.gov.uk/sitemap
Harlow Council,East of England,District,http://www.harlow.gov.uk,,2,http://www.harlow.gov.uk/transparency
Highland Council,Scotland,Unitary,http://www.highland.gov.uk,,2,http://www.highland.gov.uk/sitemap.htm
North Dorset District Council,South West,District,http://www.north-dorset.gov.uk,http://www.dorsetforyou.com/opendata,0,
Nottingham City Council,East Midlands,Unitary,http://www.nottinghamcity.gov.uk,http://www.opendatanottingham.org.uk/,0,
